0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/fuentes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:31:55 -0500] "GET /GDI/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "POST /GDI/Parcial/Login HTTP/1.1" 200 4481
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/bootstrap/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/css/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2016:09:32:42 -0500] "GET /GDI/js/librerias/bootstrap.min.js HTTP/1.1" 304 -
